ref_strain	ST	test_strain	rel_abundance
CDIF_1167	110	CDIF_1378	3.1e-5
CDIF_1168	1	CDIF_1378	5.3e-5
CDIF_116	42	CDIF_1378	1.8e-5
CDIF_1173	11	CDIF_1173	4e-5
CDIF_1174	41	CDIF_1378	2e-6
CDIF_1177	570	CDIF_1378	1.44e-4
CDIF_1178	188	CDIF_1378	1.6e-5
CDIF_1181	42	CDIF_1378	1.7e-5
CDIF_1182	54	CDIF_1378	1.01e-4
CDIF_1185	49	CDIF_520	0.006899
CDIF_1186	1	CDIF_1378	1.5e-5
CDIF_1190	42	CDIF_1378	6e-6
CDIF_1191	4	CDIF_425	4e-6
CDIF_1192	58	CDIF_1378	6.2e-4
CDIF_1195	2	CDIF_1378	2.05e-4
CDIF_1197	8	CDIF_1378	2.7e-5
CDIF_1198	8	CDIF_1378	3e-6
CDIF_11	2	CDIF_1378	2e-5
CDIF_1200	14	CDIF_1378	3e-6
CDIF_1201	54	CDIF_1378	1e-4
CDIF_1206	1	CDIF_1206	0.191978
CDIF_1206	1	CDIF_1378	1.5e-5
CDIF_1207	42	CDIF_1352	0.005567
CDIF_1207	42	CDIF_1378	5e-6
CDIF_1208	6	CDIF_1378	1.64e-4
CDIF_1209	185	CDIF_1378	6e-6
CDIF_120	1	CDIF_1378	5e-6
CDIF_1215	8	CDIF_399	6e-6
CDIF_1218	103	CDIF_1378	7.3e-5
CDIF_1219	3	CDIF_373	9.68e-4
CDIF_1221	1	CDIF_1378	1e-6
CDIF_1223	43	CDIF_1378	8e-6
CDIF_1225	2	CDIF_769	6.09e-4
CDIF_1227	1	CDIF_135	0.196843
CDIF_1231	2	CDIF_1231	0.368047
CDIF_1241	110	CDIF_840	0.019597
CDIF_1246	2	CDIF_70	1.56e-4
CDIF_1255	42	CDIF_1352	0.004562
CDIF_1263	3	CDIF_373	0.008354
CDIF_1275	49	CDIF_520	2.5699999999999e-4
CDIF_1287	12	CDIF_1378	2.93e-4
CDIF_1289	110	CDIF_840	1.29e-4
CDIF_1291	6	CDIF_1378	1.8e-5
CDIF_1293	54	CDIF_1378	3.2e-4
CDIF_1294	42	CDIF_1378	2.2e-5
CDIF_1295	188	CDIF_1378	1e-6
CDIF_1297	1	CDIF_1378	4e-6
CDIF_1299	42	CDIF_1317	0.374451
CDIF_1302	3	CDIF_1378	1.51e-4
CDIF_1304	54	CDIF_1378	6.8e-5
CDIF_1312	1	CDIF_1378	1.3e-5
CDIF_1316	3	CDIF_1378	1.51e-4
CDIF_1316	3	CDIF_373	0.010218
CDIF_1317	42	CDIF_1378	2e-5
CDIF_1320	54	CDIF_1378	5.7e-5
CDIF_1322	54	CDIF_1378	1e-6
CDIF_1325	1	CDIF_1378	1.2e-5
CDIF_1325	1	CDIF_135	0.30603
CDIF_1328	Novel	CDIF_1378	7.099999999999999e-5
CDIF_1331	49	CDIF_520	4.6e-5
CDIF_1334	110	CDIF_840	2.8399999999999e-4
CDIF_1335	8	CDIF_399	9e-6
CDIF_1338	2	CDIF_769	3.9e-5
CDIF_1340	43	CDIF_1378	7.000000000000001e-6
CDIF_1352	42	CDIF_1352	0.264853
CDIF_1358	570	CDIF_1378	1.6e-5
CDIF_135	1	CDIF_1378	3.1e-5
CDIF_135	1	CDIF_135	0.049387
CDIF_1360	1	CDIF_1378	5e-6
CDIF_1367	188	CDIF_1378	7.000000000000001e-6
CDIF_1372	63	CDIF_1378	2.5e-5
CDIF_1373	110	CDIF_1378	1.5e-5
CDIF_1376	42	CDIF_1378	3.6e-5
CDIF_1377	67	CDIF_1378	3.2e-5
CDIF_1378	323	CDIF_1378	0.990482
CDIF_1540	2	CDIF_70	2.5299999999999e-4
CDIF_1551	110	CDIF_840	1.78e-4
CDIF_156	8	CDIF_399	2.9999999999999997e-5
CDIF_1656	2	CDIF_769	3.27e-4
CDIF_221	3	CDIF_373	3e-6
CDIF_289	2	CDIF_769	2.3199999999999e-4
CDIF_324	4	CDIF_425	4e-6
CDIF_327	3	CDIF_373	3.4e-5
CDIF_348	53	CDIF_348	0.023233
CDIF_372	49	CDIF_520	0.02214499999999999
CDIF_373	3	CDIF_373	0.56457
CDIF_399	8	CDIF_399	0.005988
CDIF_408	2	CDIF_769	0.519555
CDIF_425	4	CDIF_425	0.00308599999999999
CDIF_520	49	CDIF_520	0.011196
CDIF_570	8	CDIF_570	0.006053
CDIF_70	2	CDIF_70	0.397736
CDIF_769	2	CDIF_769	0.049716
CDIF_840	110	CDIF_840	0.019195
